date,open,high,low,close,volume_btc,volume_usd
2017-08-14,4046.34,4325.0,3961.65,4318.3,17144,72021231
2017-08-13,3863.3,4174.48,3843.72,4046.34,14120,56816704
2017-08-12,3639.99,3972.53,3594.31,3863.3,13722,51835081
2017-08-11,3421.45,3705.16,3420.29,3639.99,10646,37685761
2017-08-10,3348.99,3441.17,3318.16,3421.45,8117,27627933
2017-08-09,3421.11,3425.31,3237.14,3348.99,10679,35580943
2017-08-08,3391.48,3483.39,3345.97,3421.11,11636,39753753
2017-08-07,3218.74,3410.97,3180.15,3391.48,9480,31485789
2017-08-06,3252.34,3279.63,3147.0,3218.74,6757,21768273
2017-08-05,2844.99,3332.09,2840.16,3252.34,14597,45917293
2017-08-04,2783.43,2870.91,2760.68,2844.99,7120,20199510
2017-08-03,2703.44,2795.67,2703.44,2783.43,9804,27046479
2017-08-02,2730.0,2753.87,2650.0,2703.44,7993,21574784
2017-08-01,2871.27,2924.22,2641.42,2730.0,7575,20896983
2017-07-31,2749.99,2960.0,2703.15,2871.27,7849,21992989
2017-07-30,2706.14,2749.99,2600.0,2749.99,5230,14086858
2017-07-29,2786.19,2788.9,2648.75,2706.14,7753,21049297
2017-07-28,2662.99,2821.55,2652.21,2786.19,12193,33527884
2017-07-27,2524.52,2687.15,2514.15,2662.99,10307,26655123
2017-07-26,2558.27,2599.99,2401.01,2524.52,14675,36524447
2017-07-25,2758.5,2772.99,2450.0,2558.27,22993,59204763
2017-07-24,2761.45,2795.0,2715.2,2758.5,9193,25261098
2017-07-23,2838.07,2849.99,2668.05,2761.45,9717,26910949
2017-07-22,2661.99,2872.86,2650.01,2838.07,8416,23474021
2017-07-21,2889.98,2910.0,2609.89,2661.99,19174,52681625
2017-07-20,2264.29,2950.47,2264.28,2889.98,49229,129039295
2017-07-19,2304.36,2404.01,2222.88,2264.29,21093,48678226
2017-07-18,2229.07,2389.99,2145.65,2304.36,27980,64219054
2017-07-17,1904.0,2229.07,1897.35,2229.07,18163,37714588
2017-07-16,1967.34,2039.0,1800.0,1904.0,13823,26431755
2017-07-15,2213.01,2218.52,1965.13,1967.34,14804,30554833
2017-07-14,2343.48,2352.67,2142.22,2213.01,13645,30558401
2017-07-13,2383.82,2420.0,2315.61,2343.48,11854,27975709
2017-07-12,2305.05,2401.4,2242.87,2383.82,13488,31621874
2017-07-11,2329.4,2400.0,2251.07,2305.05,16399,38322164
2017-07-10,2501.02,2520.1,2252.57,2329.4,16472,39663519
2017-07-09,2547.77,2572.31,2501.02,2501.02,5918,15047582
2017-07-08,2493.79,2550.1,2461.46,2547.77,5463,13677738
2017-07-07,2605.53,2609.87,2457.12,2493.79,13327,33627161
2017-07-06,2625.06,2645.54,2579.79,2605.53,8435,21944313
2017-07-05,2606.64,2650.0,2550.01,2625.06,19342,50208008
2017-07-04,2540.94,2631.32,2540.93,2606.64,4419,11447348
2017-07-03,2507.84,2584.0,2477.13,2540.94,6289,15926572
2017-07-02,2416.12,2541.87,2375.03,2507.84,5574,13662752
2017-07-01,2456.01,2500.0,2385.0,2416.12,5227,12731882
2017-06-30,2549.89,2549.9,2441.14,2456.01,8660,21711417
2017-06-29,2554.97,2589.51,2503.01,2549.89,7972,20365455
2017-06-28,2573.77,2596.26,2466.62,2554.97,12428,31577678
2017-06-27,2415.62,2573.77,2269.46,2573.77,18608,44650715
2017-06-26,2497.6,2549.72,2275.27,2415.62,14723,35653110
2017-06-25,2572.96,2636.55,2429.42,2497.6,6128,15611580
2017-06-24,2684.63,2710.51,2510.01,2572.96,4988,13104724
2017-06-23,2689.58,2729.34,2672.24,2684.63,5613,15185666
2017-06-22,2645.1,2726.96,2595.0,2689.58,8141,21714756
2017-06-21,2734.14,2769.99,2586.27,2645.1,11073,29746424
2017-06-20,2594.99,2786.0,2589.67,2734.14,7802,21003970
2017-06-19,2519.87,2594.99,2491.12,2594.99,6321,16129629
2017-06-18,2638.24,2663.66,2458.59,2519.87,5487,14010760
2017-06-17,2484.64,2664.89,2430.32,2638.24,4953,12714753
2017-06-16,2416.16,2508.23,2310.81,2484.64,9859,24102323
2017-06-15,2459.56,2510.38,2059.41,2416.16,22303,51364962
2017-06-14,2715.86,2800.0,2341.2,2459.56,14483,37437465
2017-06-13,2656.3,2772.03,2647.56,2715.86,12222,32989227
2017-06-12,2960.0,2975.0,2470.0,2656.3,19056,50503982
2017-06-11,2903.77,2960.0,2859.76,2960.0,4092,11917922
2017-06-10,2807.01,2903.96,2803.0,2903.77,5968,17018471
2017-06-09,2800.0,2854.12,2794.31,2807.01,7035,19832299
2017-06-08,2690.0,2815.39,2610.67,2800.0,10231,28122808
2017-06-07,2880.23,2884.98,2618.28,2690.0,8627,24000641
2017-06-06,2689.43,2924.0,2689.4,2880.23,12177,34291677
2017-06-05,2520.05,2700.2,2520.04,2689.43,5934,15478385
2017-06-04,2554.91,2566.26,2483.03,2520.05,3719,9387640
2017-06-03,2484.04,2589.69,2461.36,2554.91,4101,10395286
2017-06-02,2412.34,2484.04,2375.0,2484.04,8743,21120497
2017-06-01,2303.62,2459.0,2300.0,2412.34,11493,27291433
2017-05-31,2197.33,2325.89,2179.98,2303.62,14248,32014961
2017-05-30,2284.3,2324.27,2151.21,2197.33,14157,31837094
2017-05-29,2230.77,2340.1,2150.0,2284.3,6429,14604821
2017-05-28,2096.77,2323.99,2095.61,2230.77,4915,10885221
2017-05-27,2267.37,2342.1,1910.55,2096.77,10130,21322187
2017-05-26,2330.84,2628.71,2055.55,2267.37,17459,41282802
2017-05-25,2436.45,2779.0,2199.6,2330.84,25383,64640506
2017-05-24,2261.22,2479.0,2261.22,2436.45,10964,26072742
2017-05-23,2101.33,2264.0,2101.33,2261.22,11254,24940822
2017-05-22,2026.0,2249.0,1998.5,2101.33,11332,23928854
2017-05-21,2044.4,2089.44,1981.37,2026.0,3903,7956641
2017-05-20,1965.01,2045.0,1965.01,2044.4,5545,11082377
2017-05-19,1895.55,1965.23,1894.64,1965.01,7865,15189698
2017-05-18,1812.57,1895.55,1808.15,1895.55,7852,14523445
2017-05-17,1769.71,1837.36,1750.0,1812.57,10046,18227098
2017-05-16,1742.67,1770.0,1701.01,1769.71,6480,11330852
2017-05-15,1794.01,1794.01,1667.0,1742.67,12693,21860802
2017-05-14,1781.71,1817.57,1754.83,1794.01,1660,2975269
2017-05-13,1694.64,1781.71,1602.36,1781.71,6266,10714851
2017-05-12,1834.1,1838.59,1657.86,1694.64,15969,28152441
2017-05-11,1793.26,1884.0,1775.0,1834.1,17803,32420035
2017-05-10,1719.51,1796.01,1698.0,1793.26,7849,13849146
2017-05-09,1686.39,1779.0,1681.93,1719.51,9382,16257862
2017-05-08,1602.17,1686.39,1602.17,1686.39,8776,14331745
2017-05-07,1580.99,1609.0,1566.14,1602.17,2752,4365686
2017-05-06,1546.93,1585.6,1546.92,1580.99,2347,3684798
2017-05-05,1550.0,1626.73,1521.24,1546.93,7434,11662171
2017-05-04,1517.95,1650.0,1475.01,1550.0,9561,14883276
2017-05-03,1464.94,1535.6,1444.99,1517.95,5684,8447912
2017-05-02,1440.82,1489.61,1421.11,1464.94,6791,9877052
2017-05-01,1362.63,1480.0,1352.8,1440.82,19714,28391677
2017-04-30,1351.08,1363.84,1325.0,1362.63,1982,2658879
2017-04-29,1347.19,1355.1,1330.9,1351.08,2133,2868277
2017-04-28,1346.04,1367.65,1300.0,1347.19,15562,20895489
2017-04-27,1294.91,1370.0,1293.07,1346.04,11591,15592322
2017-04-26,1282.56,1314.05,1278.89,1294.91,6360,8239433
